numero,fecha,monto,metodo_pago,descuento
F-83100,2025-02-14,104.03,Efectivo,9
F-70845,2025-04-09,316.97,,3
F-72182,2025-03-04,96.4,,6
F-66973,2025-02-15,173.8,,1
F-33053,2025-01-08,394.89,,4
F-87687,2025-03-07,169.73,Yape,2
F-22853,2025-02-14,371.5,Plin,2
F-73492,2025-01-08,446.34,,
F-35448,2025-03-25,185.71,,
F-27891,2025-01-19,427.31,Tarjeta,4
F-89119,2025-01-08,396.88,Tarjeta,9
F-21334,2025-02-04,429.92,Tarjeta,8
F-66113,2025-04-12,437.57,Plin,10
F-85196,2025-01-21,,Plin,
F-79615,2025-02-03,244.84,Efectivo,
F-11628,2025-03-09,368.58,Tarjeta,4
F-21892,2025-01-01,245.09,Plin,
F-69616,2025-02-02,388.2,,6
F-93021,2025-01-21,,Yape,5
F-45361,2025-03-15,473.59,Tarjeta,2
F-54000,2025-04-12,466.8,Yape,2
F-70994,2025-03-08,30.03,Efectivo,
F-53899,2025-02-14,274.42,Tarjeta,4
F-45043,2025-03-13,343.31,Efectivo,8
F-79033,2025-01-14,240.38,Yape,6
F-18601,2025-01-18,447.03,Efectivo,3
F-20085,2025-01-03,90.74,Tarjeta,4
F-92218,2025-01-01,153.65,Tarjeta,7
F-94500,2025-01-01,,Tarjeta,9
F-63961,2025-03-07,177.97,Yape,9
F-68360,2025-02-26,159.0,,
F-58745,2025-02-28,,Yape,3
F-31075,2025-04-27,272.31,Tarjeta,
F-25324,2025-01-08,496.95,Plin,
F-14546,2025-03-28,165.3,Yape,3
F-25923,2025-01-24,208.24,Tarjeta,
F-81584,2025-03-13,172.33,Plin,10
F-84086,2025-04-06,454.37,Efectivo,
F-82215,2025-01-19,160.96,Tarjeta,2
F-89711,2025-03-03,105.62,,2
F-68387,2025-03-04,,,6
F-77050,2025-01-05,455.14,Tarjeta,7
F-58867,2025-01-04,149.48,Plin,
F-68224,2025-04-12,496.37,,7
F-64289,2025-01-01,419.4,Tarjeta,8
F-78852,2025-02-14,42.4,,7
F-45825,2025-02-12,95.7,,7
F-74302,2025-01-08,413.17,Yape,
F-10320,2025-01-07,138.71,,5
F-74472,2025-03-09,,Yape,2
F-57416,2025-03-07,245.44,Yape,8
F-25674,2025-02-25,261.14,,
F-70429,2025-03-09,76.39,Yape,
F-48228,2025-03-10,,Tarjeta,3
F-88480,2025-04-07,91.9,Yape,5
F-57516,2025-01-18,271.87,,9
F-73556,2025-02-04,176.75,Efectivo,
F-34696,2025-03-28,310.58,Efectivo,
F-27200,2025-01-01,244.96,,8
F-88335,2025-03-18,384.16,,
F-28659,2025-03-09,121.02,Tarjeta,7
F-24643,2025-01-04,19.22,,
F-96479,2025-03-03,300.66,,5
F-22648,2025-01-14,460.85,,
F-29078,2025-04-12,471.5,Yape,9
F-90341,2025-02-14,,Efectivo,4
F-32514,2025-04-07,273.19,Efectivo,9
F-72221,2025-02-07,352.09,,6
F-65586,2025-01-21,261.98,,2
F-74987,2025-04-22,187.01,,
F-47173,2025-02-26,304.19,Plin,7
F-66093,2025-01-18,429.82,Plin,
F-98363,2025-03-18,339.33,,7
F-87405,2025-01-03,373.3,,4
F-87982,2025-02-13,70.15,Plin,10
F-94388,2025-02-13,184.49,Plin,9
F-69589,2025-01-03,69.87,Tarjeta,
F-16927,2025-01-24,,Tarjeta,
F-91522,2025-03-08,,Plin,4
F-75260,2025-03-18,257.35,Efectivo,1
F-25615,2025-02-04,230.56,Plin,
F-96430,2025-04-23,158.49,Plin,5
F-73891,2025-04-22,63.6,Plin,3
F-61299,2025-02-19,252.4,Yape,5
F-13689,2025-03-23,32.11,Yape,
F-91940,2025-02-11,196.48,Yape,1
F-42455,2025-02-14,327.56,Efectivo,2
F-12583,2025-03-27,169.8,Plin,7
F-71564,2025-03-23,20.9,Plin,2
F-23114,2025-03-09,340.8,,5
F-67146,2025-01-07,253.51,Efectivo,
F-44754,2025-01-08,155.69,Tarjeta,2
F-85784,2025-01-18,300.01,Plin,6
F-95398,2025-02-25,257.27,Yape,7
F-77550,2025-02-26,339.06,Efectivo,9
F-85608,2025-03-04,114.35,Plin,9
F-66849,2025-03-12,,Tarjeta,
F-99824,2025-04-22,157.14,Yape,2
F-64059,2025-02-09,413.62,Yape,4
F-24884,2025-01-07,104.04,Yape,9
