producto,precio,stock,laboratorio
Hierro,,,B
Salbutamol,35.66,327,C
Zinc,,,C
Ibuprofeno,20.94,448,C
Metformina,79.82,73,D
Ciprofloxacino,25.46,459,B
Ciprofloxacino,45.63,,D
Metformina,54.63,305,D
Zinc,84.87,58,C
Vitamina C,58.52,,
Aspirina,79.05,256,B
Zinc,57.15,259,B
Ciprofloxacino,85.84,,B
Ibuprofeno,83.7,425,B
Hierro,,374,
Vitamina C,49.06,337,C
Ciprofloxacino,78.75,108,D
Omeprazol,64.81,343,D
Salbutamol,13.08,,D
Omeprazol,3.13,30,C
Ibuprofeno,47.44,248,D
Naproxeno,43.81,413,
Losartan,40.17,239,
Losartan,,206,B
Omeprazol,19.24,71,B
Zinc,83.19,441,
Losartan,89.84,,B
Amoxicilina,38.02,442,
Metformina,2.69,474,C
Aspirina,86.17,284,B
Loratadina,,376,B
Paracetamol,53.56,436,
Ciprofloxacino,9.5,,C
Ibuprofeno,84.8,296,C
Losartan,53.51,478,C
Omeprazol,25.71,330,B
Paracetamol,42.55,,C
Amoxicilina,84.07,450,C
Zinc,49.98,413,
Zinc,50.97,53,B
Hierro,11.85,139,C
Omeprazol,62.59,258,B
Ibuprofeno,57.94,,D
Loratadina,16.62,361,
Ibuprofeno,85.1,76,D
Ciprofloxacino,15.44,157,B
Hierro,33.77,,C
Naproxeno,68.0,121,B
Hierro,38.53,473,D
Zinc,66.74,81,B
Zinc,43.64,470,B
Omeprazol,4.57,168,
Vitamina C,26.9,204,C
Paracetamol,12.58,91,B
Ibuprofeno,54.64,402,D
Ibuprofeno,36.17,,D
Hierro,72.99,481,C
Metformina,8.62,169,B
Aspirina,81.16,341,C
Ciprofloxacino,13.62,481,B
Naproxeno,52.24,,C
Vitamina C,53.19,238,D
Salbutamol,71.87,,
Ciprofloxacino,60.52,47,D
Loratadina,22.13,,D
Zinc,69.67,453,D
Metformina,45.71,335,B
Vitamina C,39.66,490,D
Omeprazol,82.69,68,D
Naproxeno,30.23,226,D
Metformina,75.09,,C
Loratadina,68.21,141,D
Omeprazol,,146,D
Ibuprofeno,14.59,,C
Metformina,31.42,31,D
Aspirina,4.21,294,
Diclofenaco,28.6,456,D
Aspirina,50.23,112,C
Paracetamol,36.49,408,C
Hierro,13.65,13,D
Paracetamol,9.84,443,
Metformina,31.11,172,C
Loratadina,75.47,383,C
Omeprazol,59.32,,
Omeprazol,,78,B
Naproxeno,85.33,131,D
Aspirina,65.28,83,B
Hierro,29.77,490,B
Ibuprofeno,54.25,,D
Naproxeno,72.9,289,C
Losartan,34.89,,C
Ibuprofeno,40.39,456,C
Amoxicilina,66.63,138,C
Salbutamol,40.57,137,B
Loratadina,79.55,237,C
Paracetamol,45.7,249,C
Loratadina,79.44,141,B
Ibuprofeno,23.59,284,D
Aspirina,45.4,47,B
Loratadina,60.53,283,D
