nombre,ciudad,telefono,direccion,facturacion
Proveedor 0,Arequipa,978555983,,8286.84
Proveedor 1,Cajamarca,,,43214.96
Proveedor 2,Huancayo,,Av. Central 679,45740.41
Proveedor 3,Chiclayo,943321320,Av. Comercial 5341,4355.41
Proveedor 4,Puno,,Av. Central 8550,
Proveedor 5,Huancayo,951701149,,10433.22
Proveedor 6,Piura,942559072,Av. Principal 8183,38906.35
Proveedor 7,Puno,,Av. Cusco 491,17647.97
Proveedor 8,Lima,910196231,,26725.82
Proveedor 9,Huancayo,929109045,Av. San Martín 819,44915.73
Proveedor 10,Ica,921395409,Av. Principal 2287,20020.39
Proveedor 11,Lima,,Av. Puno 5261,19951.16
Proveedor 12,Ica,,Av. Lima 2330,29443.05
Proveedor 13,Trujillo,952148834,Av. Principal 5970,10777.99
Proveedor 14,Piura,,Av. Comercial 5084,
Proveedor 15,,943315361,,15292.62
Proveedor 16,,964276605,Av. Principal 9113,23371.14
Proveedor 17,,918277097,,20328.8
Proveedor 18,Arequipa,944738319,Av. San Martín 457,10288.64
Proveedor 19,,,,28907.27
Proveedor 20,Chiclayo,961369075,Av. Lima 5899,9763.98
Proveedor 21,,993104469,Av. Comercial 4935,44197.54
Proveedor 22,Arequipa,928419506,Av. Comercial 8714,49707.32
Proveedor 23,Lima,958199211,Av. Central 8040,28499.73
Proveedor 24,,952799022,,49580.8
Proveedor 25,Cajamarca,,Av. Comercial 4051,40906.12
Proveedor 26,Lima,939448924,Av. Central 6463,42041.5
Proveedor 27,Trujillo,952681823,Av. Comercial 5978,1896.23
Proveedor 28,Cajamarca,985579195,Av. Central 8164,
Proveedor 29,Lima,,Av. Cusco 111,30899.67
Proveedor 30,Ica,,Av. Lima 9711,
Proveedor 31,Puno,919735027,Av. Comercial 6581,17159.77
Proveedor 32,Trujillo,968635481,,48452.77
Proveedor 33,Cajamarca,939962391,Av. Central 2972,36832.75
Proveedor 34,Trujillo,986884584,,30318.24
Proveedor 35,Cajamarca,,Av. Cusco 2404,4351.43
Proveedor 36,,921908603,Av. Comercial 5600,13628.02
Proveedor 37,Arequipa,924500158,Av. San Martín 6423,21272.83
Proveedor 38,Chiclayo,960829941,Av. Cusco 1761,39542.13
Proveedor 39,,919893106,,
Proveedor 40,,,Av. San Martín 9062,48913.06
Proveedor 41,Cajamarca,914159837,Av. Comercial 2803,
Proveedor 42,Ica,935499255,Av. Principal 8949,14435.39
Proveedor 43,Lima,983774469,Av. Lima 993,21666.49
Proveedor 44,Cajamarca,,Av. Lima 4881,
Proveedor 45,Chiclayo,,Av. Comercial 9014,18865.52
Proveedor 46,Trujillo,945338986,Av. Puno 3806,28430.21
Proveedor 47,,956142898,Av. Cusco 9762,3518.7
Proveedor 48,Puno,981875527,Av. Cusco 9483,
Proveedor 49,Lima,979366056,,37980.84
Proveedor 50,Trujillo,,Av. Cusco 1383,22051.97
Proveedor 51,Trujillo,944612921,,28040.03
Proveedor 52,Piura,911659440,Av. Principal 9726,21269.89
Proveedor 53,Trujillo,988205594,Av. San Martín 1830,5499.03
Proveedor 54,Puno,,Av. Comercial 8055,23915.81
Proveedor 55,,991692326,Av. Cusco 735,44008.4
Proveedor 56,Lima,946048781,Av. San Martín 5635,15501.22
